bike_rack,id,latitude,longitude,name,parking,service_line,service_lines_detailed,wheelchair_accessible
TRUE,41,40.0351873,-75.1868428,Tulpehocken Station,TRUE,Regional Rail,Chestnut Hill West Regional Rail,FALSE
TRUE,42,40.022575,-75.159339,Wayne Junction Station,FALSE,Regional Rail,Airport Line Regional Rail,TRUE
TRUE,43,39.7977258,-75.4523299,Claymont Station,TRUE,Regional Rail,Wilmington/Newark Line Regional Rail,TRUE
TRUE,44,40.1332572,-75.1185881,Crestmont Station,TRUE,Regional Rail,Warminster Line Regional Rail,TRUE
TRUE,45,40.1048651,-74.8547216,Bristol Station,TRUE,Regional Rail,Trenton Line Regional Rail,FALSE
TRUE,46,40.0166401,-75.2102259,Wissahickon Station,TRUE,Regional Rail,Manayunk/Norristown Line Regional Rail,FALSE
FALSE,47,39.8880123,-75.3093579,Prospect Park Station,TRUE,Regional Rail,Wilmington/Newark Line Regional Rail,FALSE
TRUE,48,40.060456,-75.1788596,Stenton Station,TRUE,Regional Rail,Chestnut Hill East Regional Rail,FALSE
TRUE,49,39.9927778,-75.7636111,Thorndale Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,TRUE
FALSE,50,39.907873,-75.4112396,Elwyn Station,TRUE,Regional Rail,Media/Elwyn Line Regional Rail,TRUE
TRUE,51,40.0773619,-75.2019445,Gravers Station,TRUE,Regional Rail,Chestnut Hill East Regional Rail,FALSE
FALSE,52,39.9908643,-75.2256169,Wynnefield Avenue Station,TRUE,Regional Rail,Cynwyd Line Regional Rail,TRUE
TRUE,53,40.1908746,-74.890977,Woodbourne Station,TRUE,Regional Rail,West Trenton Line Regional Rail,FALSE
TRUE,54,40.0931593,-75.1379743,Jenkintown-Wyncote Station,TRUE,Regional Rail,Airport Line Regional Rail,FALSE
FALSE,55,40.038794,-75.3422186,Villanova Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,FALSE
FALSE,56,39.9971867,-75.1552516,North Philadelphia Station,TRUE,Regional Rail,Trenton Line Regional Rail,FALSE
TRUE,57,40.0759925,-75.0835729,Fox Chase Station,TRUE,Regional Rail,Fox Chase Line Regional Rail,TRUE
