id,outageYear,outageMonth,outageDay,stopName,Line,lat,lon
1392,2018,3,21,15th St,MFL,39.9526099,-75.16447651
1392,2018,3,22,15th St,MFL,39.9526099,-75.16447651
1392,2018,5,10,15th St,MFL,39.9526099,-75.16447651
1392,2018,5,15,15th St,MFL,39.9526099,-75.16447651
1392,2018,5,21,15th St,MFL,39.9526099,-75.16447651
1392,2018,5,24,15th St,MFL,39.9526099,-75.16447651
1392,2018,6,6,15th St,MFL,39.9526099,-75.16447651
1392,2018,6,18,15th St,MFL,39.9526099,-75.16447651
1392,2018,6,19,15th St,MFL,39.9526099,-75.16447651
1392,2018,6,28,15th St,MFL,39.9526099,-75.16447651
1392,2018,7,1,15th St,MFL,39.9526099,-75.16447651
1392,2018,7,10,15th St,MFL,39.9526099,-75.16447651
1392,2018,7,23,15th St,MFL,39.9526099,-75.16447651
1392,2018,7,26,15th St,MFL,39.9526099,-75.16447651
1392,2018,7,28,15th St,MFL,39.9526099,-75.16447651
1392,2018,7,29,15th St,MFL,39.9526099,-75.16447651
1392,2018,8,21,15th St,MFL,39.9526099,-75.16447651
1392,2018,9,10,15th St,MFL,39.9526099,-75.16447651
1392,2018,9,12,15th St,MFL,39.9526099,-75.16447651
1392,2018,9,13,15th St,MFL,39.9526099,-75.16447651
1392,2018,9,25,15th St,MFL,39.9526099,-75.16447651
1392,2018,10,17,15th St,MFL,39.9526099,-75.16447651
1392,2018,11,2,15th St,MFL,39.9526099,-75.16447651
1392,2018,12,15,15th St,MFL,39.9526099,-75.16447651
1392,2018,12,17,15th St,MFL,39.9526099,-75.16447651
1392,2018,12,21,15th St,MFL,39.9526099,-75.16447651
1392,2019,1,9,15th St,MFL,39.9526099,-75.16447651
1392,2019,1,21,15th St,MFL,39.9526099,-75.16447651
1392,2019,1,25,15th St,MFL,39.9526099,-75.16447651
1392,2019,1,26,15th St,MFL,39.9526099,-75.16447651
1392,2019,1,28,15th St,MFL,39.9526099,-75.16447651
1392,2019,2,1,15th St,MFL,39.9526099,-75.16447651
1392,2019,2,2,15th St,MFL,39.9526099,-75.16447651
1392,2019,2,5,15th St,MFL,39.9526099,-75.16447651
1392,2019,2,6,15th St,MFL,39.9526099,-75.16447651
1392,2019,2,9,15th St,MFL,39.9526099,-75.16447651
1392,2019,2,10,15th St,MFL,39.9526099,-75.16447651
1392,2019,2,17,15th St,MFL,39.9526099,-75.16447651
1392,2019,3,1,15th St,MFL,39.9526099,-75.16447651
1392,2019,3,3,15th St,MFL,39.9526099,-75.16447651
1392,2019,3,16,15th St,MFL,39.9526099,-75.16447651
428,2017,3,2,2nd St,MFL,39.95047659,-75.14198946
428,2017,5,20,2nd St,MFL,39.95047659,-75.14198946
428,2017,7,14,2nd St,MFL,39.95047659,-75.14198946
428,2017,8,30,2nd St,MFL,39.95047659,-75.14198946
428,2017,9,24,2nd St,MFL,39.95047659,-75.14198946
428,2017,9,25,2nd St,MFL,39.95047659,-75.14198946
428,2017,9,29,2nd St,MFL,39.95047659,-75.14198946
428,2017,10,1,2nd St,MFL,39.95047659,-75.14198946
428,2017,12,15,2nd St,MFL,39.95047659,-75.14198946
428,2018,1,4,2nd St,MFL,39.95047659,-75.14198946
428,2018,3,7,2nd St,MFL,39.95047659,-75.14198946
428,2018,3,21,2nd St,MFL,39.95047659,-75.14198946
428,2018,3,22,2nd St,MFL,39.95047659,-75.14198946
428,2018,4,8,2nd St,MFL,39.95047659,-75.14198946
428,2018,5,5,2nd St,MFL,39.95047659,-75.14198946
428,2018,5,18,2nd St,MFL,39.95047659,-75.14198946
428,2018,5,31,2nd St,MFL,39.95047659,-75.14198946
428,2018,6,20,2nd St,MFL,39.95047659,-75.14198946
428,2018,6,21,2nd St,MFL,39.95047659,-75.14198946
428,2018,8,22,2nd St,MFL,39.95047659,-75.14198946
428,2018,8,29,2nd St,MFL,39.95047659,-75.14198946
428,2018,8,30,2nd St,MFL,39.95047659,-75.14198946
428,2018,9,12,2nd St,MFL,39.95047659,-75.14198946
428,2019,2,1,2nd St,MFL,39.95047659,-75.14198946
428,2019,3,9,2nd St,MFL,39.95047659,-75.14198946
21532,2017,6,16,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,7,8,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,8,6,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,8,7,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,9,25,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,10,30,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,11,6,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,11,14,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,11,20,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,12,19,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2017,12,29,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,1,4,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,2,1,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,6,8,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,7,7,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,7,27,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,8,21,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,9,29,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,11,16,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,11,17,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,11,18,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,11,19,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2018,12,28,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2019,1,11,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2019,1,18,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2019,2,15,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2019,2,21,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2019,2,26,30th St--MFL,MFL,39.95519597,-75.18254766
21532,2019,3,21,30th St--MFL,MFL,39.95519597,-75.18254766
90004,2017,4,18,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2017,7,15,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2017,10,3,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2017,10,9,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2017,10,12,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2017,11,17,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,1,4,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,1,10,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,3,10,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,3,30,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,18,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,19,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,20,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,22,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,24,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,25,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,26,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,27,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,28,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,29,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,11,30,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,12,1,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,12,2,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,12,3,30th St--RR,Regional Rail,39.95600193,-75.18195757
90004,2018,12,4,30th St--RR,Regional Rail,39.95600193,-75.18195757
